instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,windspeed_boxcox,weathersit_adjusted,weathersit_logit,hour,day_of_week,month_name,season_name,weather_category,temp_category,humidity_category,windspeed_category,user_type,rentals_per_user,day_type,is_weekend,comfort_index,peak_hour
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304637,25,1137,1162,-0.9379060770093192,0.99999,11.51291546492478,0,Wednesday,January,Spring,Clear,Cold,Medium,Windy,Registered,1.0,Working Day,0,0.08951499999999997,0
13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.30101,38,1368,1406,-0.9451953794849051,0.99999,11.51291546492478,0,Thursday,January,Spring,Clear,Cold,Medium,Windy,Registered,1.0,Working Day,0,0.13119100000000003,0
14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126558,54,1367,1421,-1.3868799377836698,0.99999,11.51291546492478,0,Friday,January,Spring,Clear,Cold,Medium,Breezy,Registered,1.0,Working Day,1,0.16549533333333336,0
15,2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157973,222,1026,1248,-1.288525580393514,0.99999,11.51291546492478,0,Saturday,January,Spring,Mist,Cold,Medium,Breezy,Registered,1.0,Weekend,1,0.1922033333333333,0
16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188443,251,953,1204,-1.2035508262712338,0.99999,11.51291546492478,0,Sunday,January,Spring,Clear,Cold,Medium,Breezy,Registered,1.0,Weekend,0,0.18649133333333334,0
17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194027,117,883,1000,-1.1888705894312714,0.99999,11.51291546492478,0,Monday,January,Spring,Mist,Cold,Medium,Breezy,Registered,1.0,Holiday,0,0.14810200000000004,0
18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146785,9,674,683,-1.3221188219497568,0.99999,11.51291546492478,0,Tuesday,January,Spring,Mist,Cold,High,Breezy,Registered,1.0,Working Day,0,0.06940500000000001,0
19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208327,78,1572,1650,-1.1523671912647466,0.99999,11.51291546492478,0,Wednesday,January,Spring,Mist,Cold,High,Windy,Registered,1.0,Working Day,0,0.11403599999999997,0
20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195914,83,1844,1927,-1.183965601908205,0.99999,11.51291546492478,0,Thursday,January,Spring,Mist,Cold,Medium,Breezy,Registered,1.0,Working Day,0,0.17580666666666667,0
21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353252,75,1468,1543,-0.8447357524648182,0.99999,11.51291546492478,0,Friday,January,Spring,Clear,Cold,Medium,Windy,Registered,1.0,Working Day,1,0.12238833333333332,0
22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17198000000000002,93,888,981,-1.2483725046259408,0.99999,11.51291546492478,0,Saturday,January,Spring,Clear,Cold,Medium,Breezy,Registered,1.0,Weekend,1,0.16238346666666667,0
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.24661000000000002,150,836,986,-1.0613283875885928,0.99999,11.51291546492478,0,Sunday,January,Spring,Clear,Cold,Medium,Windy,Registered,1.0,Weekend,0,0.13779656666666665,0
24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15834,86,1330,1416,-1.2874475475274112,0.99999,11.51291546492478,0,Monday,January,Spring,Clear,Cold,Medium,Breezy,Registered,1.0,Working Day,0,0.1491041,0
25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129806,186,1799,1985,-1.3760925826285522,0.99999,11.51291546492478,0,Tuesday,January,Spring,Mist,Cold,High,Breezy,Registered,1.0,Working Day,0,0.15890500000000002,0
26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29386,34,472,506,-0.9597167545421051,0.99999,11.51291546492478,0,Wednesday,January,Spring,Light Rain,Cold,High,Windy,Registered,1.0,Working Day,0,0.020379999999999992,0
27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.11384699999999999,15,416,431,-1.4307294790581035,0.99999,11.51291546492478,0,Thursday,January,Spring,Clear,Cold,High,Breezy,Registered,1.0,Working Day,0,0.13121766666666665,0
28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.12331,38,1129,1167,-1.3978302948038743,0.99999,11.51291546492478,0,Friday,January,Spring,Mist,Cold,High,Breezy,Registered,1.0,Working Day,1,0.09570833333333328,0
29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145375,123,975,1098,-1.3264573496310799,0.99999,11.51291546492478,0,Saturday,January,Spring,Clear,Cold,High,Breezy,Registered,1.0,Weekend,1,0.133136,0
30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.07399259999999999,140,956,1096,-1.5905949327870739,0.99999,11.51291546492478,0,Sunday,January,Spring,Clear,Cold,High,Calm,Registered,1.0,Weekend,0,0.1401184666666667,0
31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187202,42,1459,1501,-1.2068477955139214,0.99999,11.51291546492478,0,Monday,January,Spring,Mist,Cold,High,Breezy,Registered,1.0,Working Day,0,0.12996033333333334,0
32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053223000000000006,47,1313,1360,-1.6949059783201148,0.99999,11.51291546492478,0,Tuesday,February,Spring,Mist,Cold,High,Calm,Registered,1.0,Working Day,0,0.10312866666666665,0
33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264318,72,1454,1526,-1.022014891266512,0.99999,11.51291546492478,0,Wednesday,February,Spring,Mist,Cold,High,Windy,Registered,1.0,Working Day,0,0.07342166666666665,0
34,2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277762,61,1489,1550,-0.9931850041249407,0.99999,11.51291546492478,0,Thursday,February,Spring,Clear,Cold,Medium,Windy,Registered,1.0,Working Day,0,0.15712299999999998,0
35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.12784900000000002,88,1620,1708,-1.3825730785511012,0.99999,11.51291546492478,0,Friday,February,Spring,Mist,Cold,Medium,Breezy,Registered,1.0,Working Day,1,0.16607933333333333,0
36,2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161089,100,905,1005,-1.2794186105498302,0.99999,11.51291546492478,0,Saturday,February,Spring,Mist,Cold,High,Breezy,Registered,1.0,Weekend,1,0.04769233333333334,0
37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.14181000000000002,354,1269,1623,-1.3375376053703343,0.99999,11.51291546492478,0,Sunday,February,Spring,Clear,Cold,Medium,Breezy,Registered,1.0,Weekend,0,0.1918966666666667,0
38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454183,120,1592,1712,-1.74024034780462,0.99999,11.51291546492478,0,Monday,February,Spring,Clear,Cold,High,Calm,Registered,1.0,Working Day,0,0.16263856666666665,0
39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36196,64,1466,1530,-0.8288550504330338,0.99999,11.51291546492478,0,Tuesday,February,Spring,Clear,Cold,Medium,Windy,Registered,1.0,Working Day,0,0.10698533333333332,0
40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.18884900000000002,53,1552,1605,-1.2024749598541047,0.99999,11.51291546492478,0,Wednesday,February,Spring,Mist,Cold,Medium,Breezy,Registered,1.0,Working Day,0,0.15038366666666667,0
41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221945,47,1491,1538,-1.1189423087312438,0.99999,11.51291546492478,0,Thursday,February,Spring,Clear,Cold,Medium,Windy,Registered,1.0,Working Day,0,0.16167066666666666,0
42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855999999999999,149,1597,1746,-1.4498100394410895,0.99999,11.51291546492478,0,Friday,February,Spring,Clear,Cold,Medium,Breezy,Registered,1.0,Working Day,1,0.191389,0
43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203377,288,1184,1472,-1.1648323593335315,0.99999,11.51291546492478,0,Saturday,February,Spring,Clear,Cold,Medium,Windy,Registered,1.0,Weekend,1,0.1583186666666667,0
44,2011-02-13,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260893,397,1192,1589,-1.0294958748170882,0.99999,11.51291546492478,0,Sunday,February,Spring,Clear,Mild,Medium,Windy,Registered,1.0,Weekend,0,0.19941266666666668,0
45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417918,208,1705,1913,-0.7317627933580658,0.99999,11.51291546492478,0,Monday,February,Spring,Clear,Mild,Medium,Windy,Registered,1.0,Working Day,0,0.207083,0
46,2011-02-15,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.29138400000000003,140,1675,1815,-0.9647934792678007,0.99999,11.51291546492478,0,Tuesday,February,Spring,Clear,Cold,Medium,Windy,Registered,1.0,Working Day,0,0.2201183333333333,0
47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251801,218,1897,2115,-1.0496375949402437,0.99999,11.51291546492478,0,Wednesday,February,Spring,Clear,Mild,Medium,Windy,Registered,1.0,Working Day,0,0.21432733333333334,0
48,2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230114,259,2216,2475,-1.0994642363991316,0.99999,11.51291546492478,0,Thursday,February,Spring,Clear,Mild,Medium,Windy,Registered,1.0,Working Day,0,0.233573,0
49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.26493500000000003,579,2348,2927,-1.0206732539615955,0.99999,11.51291546492478,0,Friday,February,Spring,Clear,Mild,Medium,Windy,Registered,1.0,Working Day,1,0.24668833333333332,0
50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507473,532,1103,1635,-0.5910659240507846,0.99999,11.51291546492478,0,Saturday,February,Spring,Clear,Mild,Low,,Registered,1.0,Weekend,1,0.23459233333333337,0
51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223245,639,1173,1812,-1.1158149011306935,0.99999,11.51291546492478,0,Sunday,February,Spring,Clear,Cold,Medium,Windy,Registered,1.0,Weekend,0,0.21804866666666664,0
52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307856,195,912,1107,-0.9314791022844344,0.99999,11.51291546492478,0,Monday,February,Spring,Mist,Mild,High,Windy,Registered,1.0,Holiday,0,0.130159,0
53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195693,74,1376,1450,-1.1845386286533757,0.99999,11.51291546492478,0,Tuesday,February,Spring,Clear,Cold,Medium,Breezy,Registered,1.0,Working Day,0,0.13625033333333333,0
54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094123,139,1778,1917,-1.5048561469879185,0.99999,11.51291546492478,0,Wednesday,February,Spring,Clear,Cold,Medium,Calm,Registered,1.0,Working Day,0,0.23485766666666666,0
55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250506,100,1707,1807,-1.0525408154987972,0.99999,11.51291546492478,0,Thursday,February,Spring,Mist,Cold,High,Windy,Registered,1.0,Working Day,0,0.11591833333333335,0
56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346549,120,1341,1461,-0.8571164249629998,0.99999,11.51291546492478,0,Friday,February,Spring,Mist,Mild,High,Windy,Registered,1.0,Working Day,1,0.10187500000000001,0
57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186581,424,1545,1969,-1.208502403462031,0.99999,11.51291546492478,0,Saturday,February,Spring,Clear,Cold,Medium,Breezy,Registered,1.0,Weekend,1,0.18600066666666668,0
58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125258,694,1708,2402,-1.3912428396929848,0.99999,11.51291546492478,0,Sunday,February,Spring,Clear,Mild,High,Breezy,Registered,1.0,Weekend,0,0.17940666666666663,0
59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289696,81,1365,1446,-0.9682689744669213,0.99999,11.51291546492478,0,Monday,February,Spring,Mist,Mild,High,Windy,Registered,1.0,Working Day,0,0.08040433333333334,0
60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.21643500000000002,137,1714,1851,-1.132317942821169,0.99999,11.51291546492478,0,Tuesday,March,Spring,Clear,Cold,Medium,Windy,Registered,1.0,Working Day,0,0.17174399999999998,0
61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.30784300000000003,231,1903,2134,-0.9315049785943618,0.99999,11.51291546492478,0,Wednesday,March,Spring,Clear,Mild,Medium,Windy,Registered,1.0,Working Day,0,0.19252466666666665,0
62,2011-03-03,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.22576400000000002,123,1562,1685,-1.1097850952745043,0.99999,11.51291546492478,0,Thursday,March,Spring,Clear,Cold,Medium,Windy,Registered,1.0,Working Day,0,0.21807866666666664,0
63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203356,214,1730,1944,-1.1648856173608213,0.99999,11.51291546492478,0,Friday,March,Spring,Mist,Cold,High,Windy,Registered,1.0,Working Day,1,0.14929800000000001,0
64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251881,640,1437,2077,-1.0494585318251284,0.99999,11.51291546492478,0,Saturday,March,Spring,Mist,Mild,High,Windy,Registered,1.0,Weekend,1,0.114373,0
65,2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343297,114,491,605,-0.8631734112258586,0.99999,11.51291546492478,0,Sunday,March,Spring,Mist,Mild,High,Windy,Registered,1.0,Weekend,0,0.028321333333333348,0
66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341362,244,1628,1872,-0.8667933503881445,0.99999,11.51291546492478,0,Monday,March,Spring,Clear,Cold,Medium,Windy,Registered,1.0,Working Day,0,0.12302433333333335,0
67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065999999999999,316,1817,2133,-1.406890045994329,0.99999,11.51291546492478,0,Tuesday,March,Spring,Clear,Cold,Medium,Breezy,Registered,1.0,Working Day,0,0.2503356666666667,0
68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22016000000000002,191,1700,1891,-1.1232539678541649,0.99999,11.51291546492478,0,Wednesday,March,Spring,Mist,Cold,High,Windy,Registered,1.0,Working Day,0,0.10008533333333332,0
69,2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.26188700000000004,46,577,623,-1.027318871161426,0.99999,11.51291546492478,0,Thursday,March,Spring,Light Rain,Mild,,Windy,Registered,1.0,Working Day,0,0.3757346666666667,0
70,2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23298000000000002,247,1730,1977,-1.0927264991763794,0.99999,11.51291546492478,0,Friday,March,Spring,Mist,Mild,High,Windy,Registered,1.0,Working Day,1,0.14465900000000004,0
71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220785,724,1408,2132,-1.1217419673510103,0.99999,11.51291546492478,0,Saturday,March,Spring,Clear,Mild,Medium,Windy,Registered,1.0,Weekend,1,0.17126633333333333,0
72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270614,982,1435,2417,-1.0084093589137195,0.99999,11.51291546492478,0,Sunday,March,Spring,Clear,Mild,Medium,Windy,Registered,1.0,Weekend,0,0.19544766666666666,0
73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136936,359,1687,2046,-1.3529529882465237,0.99999,11.51291546492478,0,Monday,March,Spring,Clear,Mild,Medium,Breezy,Registered,1.0,Working Day,0,0.23044133333333336,0
74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184319,289,1767,2056,-1.2145566933893177,0.99999,11.51291546492478,0,Tuesday,March,Spring,Mist,Mild,High,Breezy,Registered,1.0,Working Day,0,0.15913999999999998,0
75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203127,321,1871,2192,-1.1654665921720115,0.99999,11.51291546492478,0,Wednesday,March,Spring,Mist,Mild,High,Windy,Registered,1.0,Working Day,0,0.12852266666666665,0
76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209589,424,2320,2744,-1.1492169555927754,0.99999,11.51291546492478,0,Thursday,March,Spring,Clear,Mild,High,Windy,Registered,1.0,Working Day,0,0.20083133333333328,0
77,2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231027,884,2355,3239,-1.0973125509955637,0.99999,11.51291546492478,0,Friday,March,Spring,Clear,Mild,Medium,Windy,Registered,1.0,Working Day,1,0.261252,0
78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.36817700000000003,1424,1693,3117,-0.8176532911048262,0.99999,11.51291546492478,0,Saturday,March,Spring,Clear,Mild,Medium,Windy,Registered,1.0,Weekend,1,0.24171866666666667,0
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207731,1047,1424,2471,-1.153858817967531,0.99999,11.51291546492478,0,Sunday,March,Spring,Clear,Mild,Medium,Windy,Registered,1.0,Weekend,0,0.21700633333333333,0
80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288793,401,1676,2077,-0.9701330590003224,0.99999,11.51291546492478,0,Monday,March,Summer,Mist,Mild,High,Windy,Registered,1.0,Working Day,0,0.1347503333333333,0
81,2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22576000000000002,460,2243,2703,-1.1097946389502666,0.99999,11.51291546492478,0,Tuesday,March,Summer,Clear,Mild,High,Windy,Registered,1.0,Working Day,0,0.19710799999999998,0
82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234271,203,1918,2121,-1.0897072817527063,0.99999,11.51291546492478,0,Wednesday,March,Summer,Mist,Mild,High,Windy,Registered,1.0,Working Day,0,0.09104033333333333,0
83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243797,166,1699,1865,-1.067723758236742,0.99999,11.51291546492478,0,Thursday,March,Summer,Mist,Cold,High,Windy,Registered,1.0,Working Day,0,0.07845666666666662,0
84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.23073500000000002,300,1910,2210,-1.098000171979089,0.99999,11.51291546492478,0,Friday,March,Summer,Clear,Cold,Medium,Windy,Registered,1.0,Working Day,1,0.17947733333333335,0
85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.20958100000000002,981,1515,2496,-1.1492368904344457,0.99999,11.51291546492478,0,Saturday,March,Summer,Clear,Cold,Medium,Windy,Registered,1.0,Weekend,1,0.220695,0
86,2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.18431,472,1221,1693,-1.2145808685366761,0.99999,11.51291546492478,0,Sunday,March,Summer,Mist,Cold,Medium,Breezy,Registered,1.0,Weekend,0,0.1916066666666667,0
87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212214,222,1806,2028,-1.142699685120575,0.99999,11.51291546492478,0,Monday,March,Summer,Clear,Cold,Medium,Windy,Registered,1.0,Working Day,0,0.24998666666666666,0
88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.227006,317,2108,2425,-1.1068265480648798,0.99999,11.51291546492478,0,Tuesday,March,Summer,Clear,Mild,Medium,Windy,Registered,1.0,Working Day,0,0.2537756666666667,0
89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172898,168,1368,1536,-1.2458087893010634,0.99999,11.51291546492478,0,Wednesday,March,Summer,Mist,Cold,High,Breezy,Registered,1.0,Working Day,0,0.160145,0
90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.21765600000000002,179,1506,1685,-1.1293369338670636,0.99999,11.51291546492478,0,Thursday,March,Summer,Light Rain,Cold,High,Windy,Registered,1.0,Working Day,0,0.04411466666666667,0
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258718,307,1920,2227,-1.0342764027582279,0.99999,11.51291546492478,0,Friday,April,Summer,Mist,Cold,High,Windy,Registered,1.0,Working Day,1,0.11834399999999999,0
92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197156,898,1354,2252,-1.1807522474703926,0.99999,11.51291546492478,0,Saturday,April,Summer,Mist,Mild,High,Breezy,Registered,1.0,Weekend,1,0.15469799999999997,0
93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.18222300000000002,1651,1598,3249,-1.220205553316857,0.99999,11.51291546492478,0,Sunday,April,Summer,Clear,Mild,Medium,Breezy,Casual,1.0,Weekend,0,0.23870333333333335,0
94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385581,734,2381,3115,-0.7868706418957789,0.99999,11.51291546492478,0,Monday,April,Summer,Clear,Mild,Medium,Windy,Registered,1.0,Working Day,0,0.253834,0
95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388077,167,1628,1795,-0.7825229976296775,0.99999,11.51291546492478,0,Tuesday,April,Summer,Mist,Mild,High,Windy,Registered,1.0,Working Day,0,0.12800233333333336,0
96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263073,413,2395,2808,-1.02472766716709,0.99999,11.51291546492478,0,Wednesday,April,Summer,Clear,Mild,Medium,Windy,Registered,1.0,Working Day,0,0.21897566666666668,0
97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.16232200000000002,571,2570,3141,-1.2758434244445092,0.99999,11.51291546492478,0,Thursday,April,Summer,Clear,Mild,High,Breezy,Registered,1.0,Working Day,0,0.22408699999999995,0
98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.227002,172,1299,1471,-1.106836061196531,0.99999,11.51291546492478,0,Friday,April,Summer,Mist,Mild,High,Windy,Registered,1.0,Working Day,1,0.09086033333333328,0
99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.13309300000000002,879,1576,2455,-1.3653350919789244,0.99999,11.51291546492478,0,Saturday,April,Summer,Mist,Mild,High,Breezy,Registered,1.0,Weekend,1,0.11063566666666669,0
100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.14677700000000002,1188,1707,2895,-1.322143368863619,0.99999,11.51291546492478,0,Sunday,April,Summer,Mist,Mild,High,Breezy,Registered,1.0,Weekend,0,0.14079666666666665,0
101,2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324484,855,2493,3348,-0.8988895812392411,0.99999,11.51291546492478,0,Monday,April,Summer,Mist,Mild,High,Windy,Registered,1.0,Working Day,0,0.1847373333333333,0
102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274889,257,1777,2034,-0.9992763024815098,0.99999,11.51291546492478,0,Tuesday,April,Summer,Mist,Mild,High,Windy,Registered,1.0,Working Day,0,0.16281466666666666,0
103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250627,209,1953,2162,-1.052269178474994,0.99999,11.51291546492478,0,Wednesday,April,Summer,Mist,Mild,High,Windy,Registered,1.0,Working Day,0,0.11423533333333336,0
104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.11071,529,2738,3267,-1.4419866766280263,0.99999,11.51291546492478,0,Thursday,April,Summer,Clear,Mild,Medium,Breezy,Registered,1.0,Working Day,0,0.27212433333333336,0
105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226385,642,2484,3126,-1.1083046361960123,0.99999,11.51291546492478,0,Friday,April,Summer,Clear,Mild,High,Windy,Registered,1.0,Holiday,1,0.18301066666666665,0
106,2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340818,121,674,795,-0.8678132071153838,0.99999,11.51291546492478,0,Saturday,April,Summer,Light Rain,Mild,High,Windy,Registered,1.0,Weekend,1,0.0672273333333333,0
